Sexo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
Mujer,1045,1181,1360,1504,1625,1730,1799,1754,1629,1444,,
Hombre,2076,2390,2693,2968,3233,3381,3481,3421,3138,2771,,
